word,value
sozial,1
progressiv,1
gemeinschaftlich,1
gemeinsam,1
zivilisiert,1
bewährt,1
wirksam,1
etabliert,1
demokratisch,1
hoch,1
möglich,1
fortschrittlich,1
gemäßigt,1
machbar,1
realistisch,1
früh,1
kontinuierlich,1
legitim,1
verlässlich,1
verläßlich,1
aufrichtig,1
intellektuell,1
sicher,1
Sicherheit,1
Fortschritt,1
pragmatisch,1
Vertrauen,1
Wandel,1
sachlich,1
Gewinn,1
fähig,1
unsozial,-1
radikal,-1
extrem,-1
gefährlich,-1
gefährdend,-1
niedrig,-1
nieder,-1
unmöglich,-1
undemokratisch,-1
unrealistisch,-1
spät,-1
unlegitim,-1
Gefahr,-1
unehrlich,-1
unaufrichtig,-1
unintellektuell,-1
unsicher,-1
schwer,-1
schwierig,-1
Misstrauen,-1
Mißtrauen,-1
Stillstand,-1
Skandal,-1
skandalös,-1
Zukunft,-1
unsachlich,-1
Verlust,-1
unfähig,-1
